Location,Latitude,Longitude
Abbeville city,29.97,-92.13
Abita Springs town,30.48,-90.03
Addis town,30.37,-91.27
Albany village,30.5,-90.58
Alexandria city,31.29,-92.47
Ama,29.94,-90.3
Amelia,29.66,-91.11
Amite City town,30.73,-90.51
Anacoco village,31.25,-93.34
Angie village,30.96,-89.82
Arabi,29.96,-90
Arcadia town,32.55,-92.92
Arnaudville town,30.4,-91.93
Ashland village,32.12,-93.12
Athens village,32.65,-93.03
Atlanta village,31.81,-92.74
Avondale,29.91,-90.19
Baker city,30.58,-91.16
Baldwin town,29.84,-91.55
Ball town,31.42,-92.41
Banks Springs,32.08,-92.09
Barataria,29.71,-90.12
Basile town,30.49,-92.6
Baskin village,32.26,-91.75
Bastrop city,32.77,-91.91
Baton Rouge city,30.45,-91.13
Bawcomville,32.47,-92.17
Bayou Blue,29.63,-90.67
Bayou Cane,29.62,-90.75
Bayou Country Club,29.78,-90.79
Bayou Gauche,29.81,-90.42
Bayou Goula,30.21,-91.18
Bayou L'Ourse,29.72,-91.06
Bayou Vista,29.69,-91.27
Belcher village,32.75,-93.84
Belle Chasse,29.85,-90.01
Belle Rose,30.04,-91.05
Belmont,31.72,-93.51
Benton town,32.69,-93.74
Bernice town,32.83,-92.66
Berwick town,29.7,-91.24
Bienville village,32.36,-92.98
Blanchard town,32.61,-93.88
Bogalusa city,30.78,-89.86
Bonita village,32.92,-91.68
Boothville,29.33,-89.41
Bordelonville,31.1,-91.9
Bossier City city,32.52,-93.67
Bourg,29.56,-90.61
Boutte,29.88,-90.39
Boyce town,31.39,-92.67
Branch,30.35,-92.28
Breaux Bridge city,30.28,-91.9
Bridge City,29.93,-90.16
Broussard city,30.14,-91.95
Brownfields,30.55,-91.12
Brownsville,32.49,-92.16
Brusly town,30.39,-91.25
Bryceland village,32.45,-92.99
Bunkie city,30.95,-92.19
Buras,29.35,-89.52
Cade,30.09,-91.9
Calhoun,32.52,-92.35
Calvin village,31.96,-92.78
Cameron,29.79,-93.29
Campti town,31.9,-93.12
Cankton village,30.35,-92.11
Carencro city,30.31,-92.04
Carlyss,30.18,-93.37
Castor village,32.25,-93.17
Catahoula,30.21,-91.71
Cecilia,30.34,-91.85
Center Point,31.25,-92.21
Central city,30.56,-91.04
Chackbay,29.88,-90.77
Chalmette,29.94,-89.97
Charenton,29.87,-91.54
Chataignier village,30.57,-92.32
Chatham town,32.31,-92.45
Chauvin,29.45,-90.59
Cheneyville town,31.01,-92.29
Choctaw,29.85,-90.72
Choudrant village,32.55,-92.51
Church Point town,30.4,-92.21
Claiborne,32.54,-92.2
Clarence village,31.82,-93.03
Clarks village,32.03,-92.14
Clayton town,31.72,-91.54
Clinton town,30.86,-91.01
Colfax town,31.52,-92.7
Collinston village,32.69,-91.87
Columbia town,32.1,-92.08
Convent,30.01,-90.82
Converse village,31.78,-93.7
Cotton Valley town,32.81,-93.42
Cottonport town,30.99,-92.05
Coushatta town,32.03,-93.34
Covington city,30.48,-90.11
Creola village,31.43,-92.48
Crescent,30.24,-91.29
Crowley city,30.22,-92.38
Cullen town,32.97,-93.45
Cut Off,29.52,-90.33
Delcambre town,29.95,-91.99
Delhi town,32.45,-91.49
Delta village,32.32,-90.94
Denham Springs city,30.47,-90.96
DeQuincy city,30.45,-93.45
DeRidder city,30.85,-93.29
Des Allemands,29.82,-90.47
Destrehan,29.96,-90.37
Deville,31.34,-92.14
Dixie Inn village,32.6,-93.33
Dodson village,32.08,-92.66
Donaldsonville city,30.1,-90.99
Downsville village,32.63,-92.41
Doyline village,32.52,-93.41
Dry Prong village,31.58,-92.53
Dubach town,32.7,-92.66
Dubberly village,32.54,-93.24
Dulac,29.39,-90.71
Duson town,30.24,-92.19
East Hodge village,32.28,-92.71
Eastwood,32.56,-93.56
Eden Isle,30.23,-89.8
Edgard,30.04,-90.54
Edgefield village,32.05,-93.34
Egan,30.25,-92.51
Elizabeth town,30.87,-92.8
Elmwood,29.96,-90.19
Elton town,30.48,-92.7
Empire,29.41,-89.61
Epps village,32.6,-91.48
Erath town,29.96,-92.04
Eros town,32.39,-92.42
Erwinville,30.54,-91.39
Estelle,29.84,-90.1
Estherwood village,30.18,-92.46
Eunice city,30.49,-92.42
Evergreen town,30.95,-92.11
Farmerville town,32.78,-92.4
Fenton village,30.36,-92.92
Ferriday town,31.63,-91.56
Fifth Ward,31.12,-92.16
Fisher village,31.49,-93.46
Florien village,31.45,-93.46
Folsom village,30.63,-90.19
Fordoche town,30.59,-91.62
Forest Hill village,31.05,-92.52
Forest village,32.79,-91.41
Fort Jesup,31.61,-93.41
Fort Polk North,31.1,-93.18
Fort Polk South,31.05,-93.22
Franklin city,29.79,-91.51
Franklinton town,30.85,-90.15
French Settlement village,30.32,-90.8
Frierson,32.25,-93.69
Galliano,29.45,-90.31
Gardere,30.36,-91.13
Garyville,30.07,-90.63
Georgetown village,31.76,-92.38
Gibsland town,32.54,-93.05
Gilbert village,32.05,-91.66
Gilliam village,32.83,-93.84
Gillis,30.38,-93.2
Glencoe,29.81,-91.67
Glenmora town,30.97,-92.58
Gloster,32.19,-93.81
Golden Meadow town,29.39,-90.27
Goldonna village,32.02,-92.92
Gonzales city,30.22,-90.92
Grambling city,32.53,-92.71
Gramercy town,30.06,-90.69
Grand Cane village,32.08,-93.81
Grand Coteau town,30.42,-92.04
Grand Isle town,29.21,-90.03
Grand Point,30.05,-90.75
Gray,29.68,-90.78
Grayson village,32.05,-92.11
Greensburg town,30.83,-90.67
Greenwood town,32.44,-93.96
Gretna city,29.91,-90.05
Grosse Tete village,30.42,-91.44
Gueydan town,30.03,-92.51
Hackberry,29.97,-93.39
Hahnville,29.96,-90.41
Hall Summit village,32.18,-93.31
Hammond city,30.51,-90.46
Harahan city,29.94,-90.2
Harrisonburg village,31.77,-91.83
Harvey,29.89,-90.07
Haughton town,32.53,-93.51
Hayes,30.11,-92.92
Haynesville town,32.97,-93.14
Heflin village,32.46,-93.27
Henderson town,30.32,-91.8
Hessmer village,31.05,-92.12
Hester,30.03,-90.77
Hodge village,32.27,-92.73
Homer town,32.79,-93.06
Hornbeck town,31.33,-93.4
Hosston village,32.88,-93.88
Houma city,29.58,-90.71
Ida village,33,-93.89
Independence town,30.64,-90.5
Inniswold,30.4,-91.07
Iota town,30.33,-92.5
Iowa town,30.24,-93.01
Jackson town,30.83,-91.21
Jamestown village,32.34,-93.21
Jean Lafitte town,29.75,-90.1
Jeanerette city,29.92,-91.68
Jefferson,29.96,-90.16
Jena town,31.69,-92.13
Jennings city,30.22,-92.66
Jonesboro town,32.23,-92.71
Jonesville town,31.62,-91.83
Jordan Hill,31.86,-92.52
Joyce,31.93,-92.59
Junction City village,33.01,-92.72
Kaplan city,30.01,-92.28
Keachi town,32.17,-93.92
Kenner city,30.01,-90.26
Kentwood town,30.93,-90.52
Kilbourne village,33,-91.31
Killian town,30.35,-90.58
Killona,30,-90.49
Kinder town,30.48,-92.85
Kraemer,29.86,-90.63
Krotz Springs town,30.53,-91.75
Labadieville,29.82,-90.95
Lacassine,30.23,-92.92
Lacombe,30.31,-89.93
Lafayette city,30.21,-92.03
Lafitte,29.7,-90.1
Lafourche Crossing,29.77,-90.77
Lake Arthur town,30.08,-92.68
Lake Charles city,30.2,-93.21
Lake Providence town,32.81,-91.18
Lakeshore,32.53,-92.03
Lakeview,32.52,-93.83
Laplace,30.07,-90.48
Larose,29.57,-90.38
Lawtell,30.51,-92.18
Lecompte town,31.09,-92.4
Leesville city,31.14,-93.27
Lemannville,30.1,-90.92
Leonville town,30.47,-91.98
Lillie village,32.92,-92.66
Lisbon village,32.79,-92.87
Livingston town,30.5,-90.75
Livonia town,30.56,-91.55
Lockport Heights,29.66,-90.55
Lockport town,29.64,-90.54
Logansport town,31.98,-93.99
Longstreet village,32.1,-93.95
Longville,30.61,-93.23
Loreauville village,30.06,-91.74
Lucky village,32.24,-93.02
Luling,29.9,-90.35
Lutcher town,30.06,-90.71
Lydia,29.93,-91.78
Madisonville town,30.4,-90.17
Mamou town,30.63,-92.42
Mandeville city,30.38,-90.09
Mangham town,32.31,-91.78
Mansfield city,32.04,-93.7
Mansura town,31.07,-92.05
Many town,31.57,-93.48
Maringouin town,30.49,-91.52
Marion town,32.9,-92.24
Marksville city,31.12,-92.07
Marrero,29.89,-90.11
Martin village,32.1,-93.22
Mathews,29.68,-90.56
Maurice village,30.11,-92.12
McNary village,30.99,-92.58
Melville town,30.69,-91.75
Mer Rouge village,32.78,-91.79
Meraux,29.93,-89.92
Mermentau village,30.19,-92.58
Merrydale,30.5,-91.11
Merryville town,30.76,-93.52
Metairie,30,-90.18
Midway,31.68,-92.15
Milton,30.11,-92.07
Minden city,32.62,-93.28
Minorca,31.57,-91.49
Monroe city,32.52,-92.08
Montegut,29.47,-90.56
Monterey,31.44,-91.72
Montgomery town,31.67,-92.89
Monticello,30.49,-91.04
Montpelier village,30.68,-90.65
Montz,30.02,-90.46
Moonshine,29.97,-90.81
Mooringsport town,32.68,-93.96
Moreauville village,31.03,-91.98
Morgan City city,29.7,-91.19
Morganza village,30.74,-91.59
Morse village,30.12,-92.5
Moss Bluff,30.3,-93.21
Mound village,32.33,-91.02
Mount Lebanon town,32.51,-93.05
Napoleonville village,29.94,-91.03
Natalbany,30.55,-90.48
Natchez village,31.67,-93.05
Natchitoches city,31.73,-93.1
New Iberia city,30,-91.82
New Llano town,31.11,-93.28
New Orleans city,30.07,-89.93
New Roads city,30.7,-91.45
New Sarpy,29.98,-90.38
Newellton town,32.07,-91.24
Noble village,31.69,-93.68
Norco,30,-90.4
North Hodge village,32.28,-92.72
North Vacherie,30,-90.71
Norwood village,30.97,-91.11
Oak Grove town,32.86,-91.39
Oak Hills Place,30.37,-91.09
Oak Ridge village,32.62,-91.77
Oakdale city,30.82,-92.65
Oberlin town,30.61,-92.77
Oil City town,32.75,-93.98
Old Jefferson,30.38,-91.01
Olla town,31.9,-92.24
Opelousas city,30.53,-92.09
Oretta,30.53,-93.44
Ossun,30.28,-92.11
Paincourtville,29.99,-91.06
Palmetto village,30.72,-91.91
Paradis,29.87,-90.44
Parks village,30.22,-91.83
Patterson city,29.69,-91.31
Paulina,30.04,-90.72
Pearl River town,30.37,-89.75
Pierre Part,29.96,-91.21
Pine Prairie village,30.78,-92.42
Pineville city,31.34,-92.41
Pioneer village,32.74,-91.44
Pitkin,30.93,-92.93
Plain Dealing town,32.91,-93.7
Plaquemine city,30.28,-91.24
Plaucheville village,30.96,-91.98
Pleasant Hill village,31.82,-93.52
Pleasure Bend,29.92,-90.65
Point Place,31.69,-93.02
Pointe a la Hache,29.57,-89.78
Pollock town,31.53,-92.41
Ponchatoula city,30.44,-90.44
Port Allen city,30.45,-91.21
Port Arthur city,29.82,-93.92
Port Barre town,30.56,-91.96
Port Sulphur,29.5,-89.72
Port Vincent village,30.34,-90.84
Powhatan village,31.87,-93.2
Poydras,29.86,-89.89
Prairieville,30.32,-90.96
Presquille,29.56,-90.64
Prien,30.16,-93.26
Prospect,31.45,-92.5
Provencal village,31.65,-93.2
Quitman village,32.35,-92.72
Raceland,29.73,-90.64
Rayne city,30.24,-92.27
Rayville town,32.47,-91.76
Red Chute,32.57,-93.61
Reddell,30.67,-92.43
Reeves village,30.52,-93.04
Reserve,30.07,-90.56
Richmond village,32.39,-91.18
Richwood town,32.45,-92.08
Ridgecrest town,31.6,-91.53
Ringgold town,32.33,-93.28
River Ridge,29.96,-90.22
Roanoke,30.24,-92.75
Robeline village,31.69,-93.3
Rock Hill,31.44,-92.57
Rodessa village,32.97,-94
Romeville,30.07,-90.83
Rosedale village,30.44,-91.46
Roseland town,30.76,-90.51
Rosepine town,30.92,-93.29
Ruston city,32.53,-92.64
Saline village,32.16,-92.98
Sarepta town,32.9,-93.45
Schriever,29.73,-90.83
Scott city,30.24,-92.09
Shenandoah,30.4,-91
Shongaloo village,32.94,-93.3
Shreveport city,32.47,-93.8
Sibley town,32.54,-93.29
Sicily Island village,31.85,-91.66
Sikes village,32.08,-92.49
Simmesport town,30.98,-91.81
Simpson village,31.26,-93.02
Simsboro village,32.53,-92.78
Singer,30.65,-93.41
Siracusaville,29.69,-91.15
Slaughter town,30.72,-91.14
Slidell city,30.29,-89.78
Sorrel,29.89,-91.62
Sorrento town,30.18,-90.87
South Mansfield village,32.02,-93.72
South Vacherie,29.94,-90.69
Spearsville village,32.93,-92.6
Spokane,31.71,-91.45
Springfield town,30.43,-90.54
Springhill city,33,-93.46
St. Francisville town,30.79,-91.38
St. Gabriel city,30.25,-91.1
St. James,30.02,-90.85
St. Joseph town,31.92,-91.24
St. Martinville city,30.13,-91.83
St. Maurice,31.76,-92.94
St. Rose,29.96,-90.31
Stanley village,31.96,-93.9
Starks,30.31,-93.67
Start,32.49,-91.87
Sterlington town,32.69,-92.06
Stonewall town,32.27,-93.82
Sugartown,30.84,-93.01
Sulphur city,30.23,-93.36
Sun village,30.65,-89.91
Sunset town,30.41,-92.06
Supreme,29.86,-91
Swartz,32.58,-91.99
Taft,29.99,-90.45
Tallulah city,32.41,-91.19
Tangipahoa village,30.88,-90.51
Terrytown,29.9,-90.03
Thibodaux city,29.79,-90.82
Tickfaw village,30.58,-90.49
Timberlane,29.88,-90.03
Triumph,29.34,-89.47
Tullos town,31.82,-92.33
Turkey Creek village,30.87,-92.42
Union,30.09,-90.88
Urania town,31.86,-92.29
Varnado village,30.9,-89.83
Venice,29.29,-89.36
Ventress,30.68,-91.42
Vidalia town,31.57,-91.44
Vienna Bend,31.74,-93.03
Vienna town,32.61,-92.65
Village St. George,30.36,-91.07
Ville Platte city,30.69,-92.27
Vinton town,30.2,-93.58
Violet,29.9,-89.89
Vivian town,32.87,-93.99
Waggaman,29.94,-90.24
Walker town,30.49,-90.87
Wallace,30.03,-90.66
Wallace Ridge,31.68,-91.83
Washington town,30.62,-92.06
Waterproof town,31.81,-91.39
Watson,30.57,-90.95
Welcome,30.05,-90.88
Welsh town,30.24,-92.81
West Monroe city,32.51,-92.15
Westlake city,30.26,-93.26
Westminster,30.41,-91.09
Westwego city,29.91,-90.14
White Castle town,30.16,-91.15
Wilson village,30.92,-91.11
Winnfield city,31.92,-92.64
Winnsboro city,32.17,-91.72
Wisner town,31.98,-91.66
Woodmere,29.85,-90.08
Woodworth town,31.17,-92.51
Youngsville city,30.1,-92
Zachary city,30.67,-91.16
Zwolle town,31.64,-93.64
